"id","name","city","region","country","latitude","longitude","ranking","ranking_out_of","rating","num_reviews","photo_count","amenities_count","brand","awards_count","price_level"
1016545,"Xclusive Hotel Apartments","Dubai","Emirate of Dubai","United Arab Emirates",25.250477,55.29657,365,982,4.0,536,279,30,"",2,"$$"
1016546,"Copthorne Hotel Dubai","Dubai","Emirate of Dubai","United Arab Emirates",25.25468,55.327778,229,982,4.5,2203,821,67,"",1,"$$"
1017752,"Lindos Blu Luxury Hotel & Suites","Lindos","South Aegean","Dodecanese",36.101707,28.072063,1,32,5.0,2006,1906,120,"",4,"$$$$"
1020535,"Star Metro Deira Hotel","Dubai","Emirate of Dubai","United Arab Emirates",25.27066,55.32256,52,982,4.5,1218,438,41,"",1,"$$"
1022759,"Atlantis The Palm","Dubai","Emirate of Dubai","United Arab Emirates",25.130457,55.11715,130,982,4.5,6551,7988,208,"",0,"$$$$"
10238204,"Mia City Hotel","Izmir","Turkish Aegean Coast","Turkiye",38.33207,27.135231,36,218,4.5,65,197,50,"",0,"$$"
1025733,"Four Points by Sheraton Sheikh Zayed Road, Dubai","Dubai","Emirate of Dubai","United Arab Emirates",25.214006,55.276245,211,982,4.5,3466,2359,79,"Four Points",2,"$$$"
10259104,"City Seasons Towers","Dubai","Emirate of Dubai","United Arab Emirates",25.252914,55.302773,79,982,4.5,2003,684,91,"",0,"$$"
10263885,"FIVE Palm Jumeirah Dubai","Dubai","Emirate of Dubai","United Arab Emirates",25.104334,55.14876,353,982,5.0,11943,8895,91,"",0,"$$$$"
10263893,"dusitD2 Kenz Hotel","Dubai","Emirate of Dubai","United Arab Emirates",25.099,55.17289,24,766,4.5,1511,935,93,"Dusit Hotels and Resorts",2,"$$"
